,0,1,2,3
107,512610.SH,129053.315,100000,29.053315
108,512600.SH,112865.96999999999,100000,12.865969999999988
109,513500.SH,100683.708,100000,0.6837079999999988
110,512120.SH,101937.36700000001,100000,1.9373670000000132
111,510680.SH,89556.0,100000,-10.444
112,512010.SH,117340.03199999999,100000,17.34003199999999
113,159933.SZ,82498.336,100000,-17.501664000000005
114,159932.SZ,114987.56399999998,100000,14.987563999999983
115,159930.SZ,116417.998,100000,16.417998000000004
116,159931.SZ,113177.99500000001,100000,13.17799500000001
117,159929.SZ,133492.62,100000,33.492619999999995
118,159928.SZ,115513.15000000001,100000,15.513150000000008
119,513100.SH,107689.185,100000,7.689184999999997
120,510510.SH,85522.99200000001,100000,-14.477007999999989
121,510630.SH,120616.65000000001,100000,20.616650000000007
